Ingrediente,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,DemandaTotal,DemandaValorizada,DemandaValorizadaPorcentual,DemandaValorizadaPorcentualAcumulada,Tipo
Harina de trigo,347100.0,691350.0,644350.0,620150.0,644250.0,672350.0,691700.0,858550.0,1489350.0,1270500.0,1013450.0,915750.0,889500.0,1206600.0,1092500.0,1254000.0,1365150.0,1167550.0,1305500.0,2050250.0,751750.0,1386550.0,1189600.0,1197350.0,1191050.0,1270950.0,1253950.0,1663650.0,2324300.0,2267050.0,2279400.0,2519100.0,2881200.0,2522650.0,2029800.0,1431000.0,1296450.0,1078950.0,1018550.0,860600.0,993300.0,827900.0,1015000.0,1446050.0,1301100.0,928750.0,643850.0,624600.0,611550.0,426800.0,700300.0,1215900.0,1139650.0,551850.0,569700.0,623950.0,621250.0,634450.0,756150.0,1025400.0,1018800.0,1084400.0,739300.0,758000.0,825950.0,743400.0,760900.0,1189800.0,1419950.0,1211400.0,1040350.0,977100.0,981400.0,1983850.0,1263050.0,1225350.0,1135500.0,1091150.0,1198050.0,1565950.0,2633600.0,2179950.0,2291050.0,2595050.0,3133550.0,2768550.0,1859050.0,1077800.0,1067600.0,1021150.0,857200.0,680900.0,113640400.0,6818424.0,53.562435585759594,53.562435585759594,A
Mantequilla,36230.0,50670.0,52590.0,47570.0,64240.0,61930.0,69140.0,68460.0,141220.0,97750.0,97780.0,79180.0,69520.0,93360.0,80420.0,105050.0,115340.0,96370.0,109980.0,195880.0,77430.0,123620.0,105650.0,119230.0,103080.0,105910.0,103970.0,138640.0,209830.0,211540.0,178330.0,221380.0,258790.0,220040.0,159660.0,133820.0,113760.0,89620.0,88020.0,78650.0,90150.0,80350.0,83430.0,123450.0,107410.0,84340.0,60140.0,55210.0,61210.0,49930.0,73450.0,103760.0,87150.0,48340.0,55180.0,55810.0,60710.0,52430.0,67470.0,92680.0,86670.0,86880.0,68400.0,79580.0,92820.0,66860.0,75790.0,114800.0,135690.0,108240.0,86370.0,84640.0,88860.0,195010.0,118370.0,123400.0,102680.0,106890.0,97710.0,123690.0,245380.0,202760.0,203960.0,225660.0,303650.0,244410.0,158290.0,89350.0,109560.0,88140.0,76830.0,52450.0,10110040.0,4246216.8,33.356346544769025,86.91878213052863,B
Levadura,3024.0,6539.0,5977.0,5856.0,5849.0,6131.0,6288.0,8017.0,13350.0,11724.0,9118.0,8456.0,8234.0,11203.0,10266.0,11561.0,12459.0,10664.0,12052.0,18301.0,6582.0,12587.0,10871.0,10772.0,10865.0,11691.0,11577.0,15279.0,20944.0,20344.0,20941.0,22812.0,25540.0,22533.0,18542.0,12711.0,11907.0,9840.0,9204.0,7689.0,8990.0,7391.0,9196.0,13164.0,11886.0,8357.0,5799.0,5716.0,5550.0,3701.0,6230.0,11255.0,10680.0,5062.0,5110.0,5749.0,5694.0,5837.0,6916.0,9344.0,9432.0,10163.0,6669.0,6702.0,7264.0,6840.0,6771.0,10780.0,12717.0,11042.0,9650.0,8954.0,9012.0,17661.0,11394.0,10811.0,10311.0,9788.0,11155.0,14412.0,23536.0,19361.0,20554.0,23360.0,27532.0,24693.0,16774.0,9816.0,9470.0,9356.0,7814.0,6385.0,1030106.0,793181.62,6.230873795624684,93.14965592615332,B
Chocolate,9300.0,12700.0,13600.0,10750.0,16550.0,16200.0,18900.0,17400.0,39200.0,28100.0,27300.0,22550.0,16550.0,25000.0,20950.0,27700.0,31300.0,24700.0,27650.0,56300.0,20050.0,33300.0,26700.0,34300.0,26700.0,26300.0,27350.0,34700.0,54350.0,53800.0,46850.0,62500.0,72150.0,61500.0,39950.0,32900.0,25700.0,22700.0,23400.0,22400.0,25000.0,20350.0,21750.0,35600.0,31600.0,23800.0,13250.0,14900.0,16850.0,13700.0,18850.0,28250.0,24500.0,12500.0,14300.0,14000.0,16900.0,11900.0,17900.0,26600.0,24100.0,24200.0,19200.0,23000.0,24700.0,16650.0,18550.0,31450.0,38000.0,30150.0,23500.0,23350.0,23350.0,51050.0,31500.0,36550.0,27400.0,27700.0,25450.0,34250.0,63950.0,54550.0,56750.0,61350.0,79950.0,66900.0,43750.0,22700.0,31350.0,22800.0,20900.0,14450.0,2706300.0,649512.0,5.102270651132561,98.25192657728587,C
Leche,6900.0,11870.0,11700.0,13500.0,16660.0,16530.0,18220.0,18960.0,34490.0,27050.0,26100.0,23020.0,19610.0,26130.0,22970.0,28860.0,29350.0,26730.0,32750.0,47680.0,18660.0,31980.0,30190.0,31300.0,27160.0,29550.0,28770.0,37260.0,47070.0,49890.0,42340.0,51470.0,56390.0,50350.0,40500.0,34190.0,30480.0,23800.0,21880.0,20080.0,24780.0,20680.0,22230.0,32300.0,29740.0,21170.0,15410.0,14940.0,16800.0,11410.0,18570.0,25230.0,21580.0,13020.0,13890.0,14960.0,16660.0,15310.0,19800.0,24440.0,25320.0,26850.0,19080.0,20990.0,24700.0,19500.0,21670.0,28440.0,34090.0,28840.0,25070.0,24210.0,24720.0,45250.0,30870.0,29360.0,28240.0,26160.0,28960.0,32440.0,53950.0,44560.0,46490.0,50520.0,61860.0,50680.0,37950.0,22990.0,26640.0,23300.0,18760.0,14650.0,2552420.0,127621.0,1.0025324901898482,99.25445906747572,C
Emmental,900.0,600.0,1200.0,1100.0,700.0,900.0,200.0,300.0,2100.0,1500.0,1400.0,900.0,2100.0,1300.0,1100.0,1000.0,2200.0,1600.0,1400.0,1900.0,900.0,2100.0,4000.0,2400.0,2400.0,1800.0,1600.0,2700.0,3400.0,4200.0,2400.0,2400.0,4700.0,3700.0,4800.0,3100.0,2800.0,2600.0,2600.0,2500.0,2000.0,2000.0,1900.0,1500.0,1300.0,1200.0,700.0,800.0,800.0,400.0,1500.0,800.0,500.0,700.0,1900.0,1800.0,800.0,1400.0,2600.0,1400.0,1100.0,1400.0,1500.0,1900.0,1600.0,1300.0,2200.0,1500.0,2700.0,2200.0,1600.0,2700.0,2800.0,1800.0,3600.0,2000.0,1900.0,2200.0,1800.0,2700.0,2900.0,2800.0,3300.0,2800.0,3500.0,1800.0,3200.0,2500.0,1800.0,2200.0,2400.0,2000.0,179200.0,43008.0,0.3378512732080534,99.59231034068378,C
Azúcar,3590.0,5740.0,5750.0,7780.0,9360.0,9720.0,10960.0,11030.0,20040.0,14830.0,16140.0,12980.0,11910.0,14160.0,13370.0,16700.0,16850.0,14920.0,19300.0,28070.0,11500.0,18170.0,16560.0,15940.0,14670.0,16900.0,15810.0,21990.0,26660.0,29810.0,24600.0,29760.0,32000.0,28550.0,23620.0,20550.0,18270.0,13750.0,12600.0,11570.0,14230.0,11530.0,12600.0,18580.0,17480.0,12360.0,9180.0,8650.0,9210.0,6680.0,10610.0,13870.0,11970.0,7160.0,7980.0,8810.0,8930.0,9340.0,11790.0,13680.0,15380.0,15290.0,10560.0,11550.0,13190.0,11130.0,12680.0,15470.0,19540.0,15770.0,13890.0,13770.0,13360.0,25610.0,17960.0,16350.0,15650.0,14740.0,16440.0,18430.0,31140.0,26030.0,26300.0,28320.0,35380.0,28810.0,21060.0,12670.0,15250.0,13250.0,10400.0,8320.0,1454810.0,29096.2,0.22856650426702393,99.8208768449508,C
Sal,7015.0,13934.0,12939.0,12478.0,12968.0,13486.0,13975.0,17307.0,29965.0,25517.0,20378.0,18354.0,17828.0,24245.0,21995.0,25204.0,27380.0,23379.0,26185.0,41223.0,15060.0,27818.0,23753.0,23931.0,23810.0,25505.0,25129.0,33432.0,46762.0,45507.0,45865.0,50692.0,57666.0,50575.0,40682.0,28626.0,25979.0,21550.0,20364.0,17181.0,19855.0,16591.0,20310.0,29071.0,26127.0,18605.0,12890.0,12501.0,12288.0,8578.0,14005.0,24592.0,23002.0,11115.0,11404.0,12476.0,12468.0,12701.0,15158.0,20608.0,20543.0,21803.0,14779.0,15111.0,16508.0,14904.0,15114.0,23944.0,28507.0,24276.0,20850.0,19512.0,19665.0,39846.0,25273.0,24540.0,22737.0,21860.0,24010.0,31457.0,52984.0,43790.0,45999.0,52042.0,62932.0,55661.0,37236.0,21573.0,21430.0,20481.0,17215.0,13644.0,2280213.0,22802.13,0.17912315504918974,99.99999999999999,C
Pasas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,C
