article,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,mean,std,std%,XYZ
TARTELETTE FRAISE,0.0,0.0,12.0,69.0,103.0,51.0,79.0,88.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,56.0,39.0,86.0,165.0,12.0,38.333333333333336,45.747495377707104,119.34129228967069,Z
PT NANTAIS,0.0,0.0,0.0,0.0,0.0,0.0,19.0,159.0,36.0,52.0,38.0,28.0,15.0,6.0,10.0,61.0,32.0,41.0,107.0,120.0,27.0,35.76190476190476,43.805142120423206,122.4910765018492,Z
DIVERS SANDWICHS,34.0,32.0,46.0,25.0,28.0,17.0,23.0,0.0,2.0,2.0,11.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,11.095238095238095,14.307007939834106,128.94728186116578,Z
GD FAR BRETON,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,6.0,6.0,4.0,26.0,27.0,10.0,19.0,33.0,8.0,8.142857142857142,10.508499960915993,129.0517539059859,Z
DIVERS BOISSONS,0.0,0.0,0.0,0.0,5.0,14.0,15.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,12.0,5.0,4.095238095238095,5.2906026301808184,129.18913399278745,Z
FONDANT CHOCOLAT,21.0,24.0,40.0,55.0,41.0,39.0,53.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.142857142857142,21.0506192647288,139.0135234463223,Z
NANTAIS,40.0,67.0,81.0,82.0,116.0,84.0,115.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.142857142857142,42.7226938690501,151.80652643824908,Z
GACHE,14.0,20.0,18.0,17.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.142857142857143,9.446087625497206,153.77351948483823,Z
DIVERS BOULANGERIE,9.0,9.0,18.0,22.0,15.0,18.0,19.0,7.0,7.0,4.0,1.0,115.0,1.0,9.0,5.0,9.0,3.0,9.0,16.0,10.0,13.0,15.19047619047619,23.640260251568822,155.62553770625243,Z
PLAT 7.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,13.0,22.0,27.0,18.0,12.0,5.238095238095238,8.496497877977502,162.20586857957048,Z
