,Sal,Levadura,Mantequilla,Azúcar,Chocolate,Emmental,Pasas,Leche,Harina de trigo
2022-01-09,11115.0,5062.0,48340.0,7160.0,12500.0,700.0,0.0,13020.0,551850.0
2022-01-16,11404.0,5110.0,55180.0,7980.0,14300.0,1900.0,0.0,13890.0,569700.0
2022-01-23,12476.0,5749.0,55810.0,8810.0,14000.0,1800.0,0.0,14960.0,623950.0
2022-01-30,12468.0,5694.0,60710.0,8930.0,16900.0,800.0,0.0,16660.0,621250.0
2022-02-06,12701.0,5837.0,52430.0,9340.0,11900.0,1400.0,0.0,15310.0,634450.0
2022-02-13,15158.0,6916.0,67470.0,11790.0,17900.0,2600.0,0.0,19800.0,756150.0
2022-02-20,20608.0,9344.0,92680.0,13680.0,26600.0,1400.0,0.0,24440.0,1025400.0
2022-02-27,20543.0,9432.0,86670.0,15380.0,24100.0,1100.0,0.0,25320.0,1018800.0
2022-03-06,21803.0,10163.0,86880.0,15290.0,24200.0,1400.0,0.0,26850.0,1084400.0
2022-03-13,14779.0,6669.0,68400.0,10560.0,19200.0,1500.0,0.0,19080.0,739300.0
2022-03-20,15111.0,6702.0,79580.0,11550.0,23000.0,1900.0,0.0,20990.0,758000.0
2022-03-27,16508.0,7264.0,92820.0,13190.0,24700.0,1600.0,0.0,24700.0,825950.0
2022-04-03,14904.0,6840.0,66860.0,11130.0,16650.0,1300.0,0.0,19500.0,743400.0
2022-04-10,15114.0,6771.0,75790.0,12680.0,18550.0,2200.0,0.0,21670.0,760900.0
2022-04-17,23944.0,10780.0,114800.0,15470.0,31450.0,1500.0,0.0,28440.0,1189800.0
2022-04-24,28507.0,12717.0,135690.0,19540.0,38000.0,2700.0,0.0,34090.0,1419950.0
2022-05-01,24276.0,11042.0,108240.0,15770.0,30150.0,2200.0,0.0,28840.0,1211400.0
2022-05-08,20850.0,9650.0,86370.0,13890.0,23500.0,1600.0,0.0,25070.0,1040350.0
2022-05-15,19512.0,8954.0,84640.0,13770.0,23350.0,2700.0,0.0,24210.0,977100.0
2022-05-22,19665.0,9012.0,88860.0,13360.0,23350.0,2800.0,0.0,24720.0,981400.0
2022-05-29,39846.0,17661.0,195010.0,25610.0,51050.0,1800.0,0.0,45250.0,1983850.0
2022-06-05,25273.0,11394.0,118370.0,17960.0,31500.0,3600.0,0.0,30870.0,1263050.0
2022-06-12,24540.0,10811.0,123400.0,16350.0,36550.0,2000.0,0.0,29360.0,1225350.0
2022-06-19,22737.0,10311.0,102680.0,15650.0,27400.0,1900.0,0.0,28240.0,1135500.0
2022-06-26,21860.0,9788.0,106890.0,14740.0,27700.0,2200.0,0.0,26160.0,1091150.0
2022-07-03,24010.0,11155.0,97710.0,16440.0,25450.0,1800.0,0.0,28960.0,1198050.0
2022-07-10,31457.0,14412.0,123690.0,18430.0,34250.0,2700.0,0.0,32440.0,1565950.0
2022-07-17,52984.0,23536.0,245380.0,31140.0,63950.0,2900.0,0.0,53950.0,2633600.0
2022-07-24,43790.0,19361.0,202760.0,26030.0,54550.0,2800.0,0.0,44560.0,2179950.0
2022-07-31,45999.0,20554.0,203960.0,26300.0,56750.0,3300.0,0.0,46490.0,2291050.0
2022-08-07,52042.0,23360.0,225660.0,28320.0,61350.0,2800.0,0.0,50520.0,2595050.0
2022-08-14,62932.0,27532.0,303650.0,35380.0,79950.0,3500.0,0.0,61860.0,3133550.0
2022-08-21,55661.0,24693.0,244410.0,28810.0,66900.0,1800.0,0.0,50680.0,2768550.0
2022-08-28,37236.0,16774.0,158290.0,21060.0,43750.0,3200.0,0.0,37950.0,1859050.0
2022-09-04,21573.0,9816.0,89350.0,12670.0,22700.0,2500.0,0.0,22990.0,1077800.0
2022-09-11,21430.0,9470.0,109560.0,15250.0,31350.0,1800.0,0.0,26640.0,1067600.0
2022-09-18,20481.0,9356.0,88140.0,13250.0,22800.0,2200.0,0.0,23300.0,1021150.0
2022-09-25,17215.0,7814.0,76830.0,10400.0,20900.0,2400.0,0.0,18760.0,857200.0
2022-10-02,13644.0,6385.0,52450.0,8320.0,14450.0,2000.0,0.0,14650.0,680900.0
