article,month,Quantity
SACHET VIENNOISERIE,06,34.0
SACHET VIENNOISERIE,07,69.0
SACHET VIENNOISERIE,08,52.0
SACHET VIENNOISERIE,09,26.0
SACHET VIENNOISERIE,10,29.0
SACHET VIENNOISERIE,11,27.0
SACHET VIENNOISERIE,12,11.0
SAND JB,01,4.0
SAND JB,02,1.0
SAND JB EMMENTAL,01,101.0
SAND JB EMMENTAL,02,102.0
SAND JB EMMENTAL,03,138.0
SAND JB EMMENTAL,04,147.0
SAND JB EMMENTAL,05,177.0
SAND JB EMMENTAL,06,205.0
SAND JB EMMENTAL,07,254.0
SAND JB EMMENTAL,08,294.0
SAND JB EMMENTAL,09,214.0
SAND JB EMMENTAL,10,81.0
SAND JB EMMENTAL,11,46.0
SAND JB EMMENTAL,12,33.0
SANDWICH COMPLET,01,169.0
SANDWICH COMPLET,02,165.0
SANDWICH COMPLET,03,271.0
SANDWICH COMPLET,04,312.0
SANDWICH COMPLET,05,316.0
SANDWICH COMPLET,06,353.0
SANDWICH COMPLET,07,295.0
SANDWICH COMPLET,08,389.0
SANDWICH COMPLET,09,298.0
SANDWICH COMPLET,10,141.0
SANDWICH COMPLET,11,105.0
SANDWICH COMPLET,12,74.0
SAVARIN,01,17.0
SAVARIN,02,55.0
SAVARIN,03,52.0
SAVARIN,04,43.0
SAVARIN,05,94.0
SAVARIN,06,57.0
SAVARIN,07,42.0
SAVARIN,08,37.0
SAVARIN,09,22.0
SAVARIN,10,17.0
SAVARIN,11,23.0
SAVARIN,12,8.0
SEIGLE,01,84.0
SEIGLE,02,82.0
SEIGLE,03,106.0
SEIGLE,04,130.0
SEIGLE,05,138.0
SEIGLE,06,116.0
SEIGLE,07,216.0
SEIGLE,08,258.0
SEIGLE,09,112.0
SEIGLE,10,57.0
SEIGLE,11,47.0
SEIGLE,12,76.0
SPECIAL BREAD,01,344.0
SPECIAL BREAD,02,419.0
SPECIAL BREAD,03,395.0
SPECIAL BREAD,04,498.0
SPECIAL BREAD,05,577.0
SPECIAL BREAD,06,487.0
SPECIAL BREAD,07,848.0
SPECIAL BREAD,08,845.0
SPECIAL BREAD,09,451.0
SPECIAL BREAD,10,186.0
SPECIAL BREAD,11,175.0
SPECIAL BREAD,12,231.0
SPECIAL BREAD KG,01,26.0
SPECIAL BREAD KG,02,35.0
SPECIAL BREAD KG,03,34.0
SPECIAL BREAD KG,04,38.0
SPECIAL BREAD KG,05,39.0
SPECIAL BREAD KG,06,42.0
SPECIAL BREAD KG,07,74.0
SPECIAL BREAD KG,08,85.0
SPECIAL BREAD KG,09,36.0
SPECIAL BREAD KG,10,21.0
SPECIAL BREAD KG,11,15.0
SPECIAL BREAD KG,12,12.0
ST HONORE,06,12.0
ST HONORE,07,26.0
ST HONORE,08,54.0
ST HONORE,09,14.0
ST HONORE,10,4.0
SUCETTE,01,31.0
SUCETTE,02,51.0
SUCETTE,03,83.0
SUCETTE,04,94.0
SUCETTE,05,75.0
SUCETTE,06,88.0
SUCETTE,07,249.0
SUCETTE,08,222.0
SUCETTE,09,49.0
SUCETTE,10,68.0
SUCETTE,11,29.0
SUCETTE,12,22.0
TARTE FINE,02,8.0
TARTE FINE,03,14.0
TARTE FINE,04,17.0
TARTE FINE,05,13.0
TARTE FINE,07,4.0
TARTE FINE,11,2.0
TARTE FINE,12,7.0
TARTE FRAISE 4PER,03,2.0
TARTE FRAISE 4PER,04,23.0
TARTE FRAISE 4PER,05,38.0
TARTE FRAISE 4PER,06,34.0
TARTE FRAISE 4PER,07,39.0
TARTE FRAISE 4PER,08,29.0
TARTE FRAISE 6P,03,1.0
TARTE FRAISE 6P,04,16.0
TARTE FRAISE 6P,05,25.0
TARTE FRAISE 6P,06,22.0
TARTE FRAISE 6P,07,32.0
TARTE FRAISE 6P,08,22.0
TARTE FRAISE 6P,09,2.0
TARTE FRUITS 4P,01,6.0
TARTE FRUITS 4P,02,28.0
TARTE FRUITS 4P,03,29.0
TARTE FRUITS 4P,04,30.0
TARTE FRUITS 4P,05,59.0
TARTE FRUITS 4P,06,28.0
TARTE FRUITS 4P,07,54.0
TARTE FRUITS 4P,08,63.0
TARTE FRUITS 4P,09,32.0
TARTE FRUITS 4P,10,29.0
TARTE FRUITS 4P,11,13.0
TARTE FRUITS 4P,12,9.0
TARTE FRUITS 6P,01,5.0
TARTE FRUITS 6P,02,20.0
TARTE FRUITS 6P,03,21.0
TARTE FRUITS 6P,04,26.0
TARTE FRUITS 6P,05,48.0
TARTE FRUITS 6P,06,16.0
TARTE FRUITS 6P,07,47.0
TARTE FRUITS 6P,08,47.0
TARTE FRUITS 6P,09,22.0
TARTE FRUITS 6P,10,21.0
TARTE FRUITS 6P,11,7.0
TARTE FRUITS 6P,12,3.0
TARTELETTE,01,162.0
TARTELETTE,02,450.0
TARTELETTE,03,468.0
TARTELETTE,04,414.0
TARTELETTE,05,622.0
TARTELETTE,06,446.0
TARTELETTE,07,712.0
TARTELETTE,08,712.0
TARTELETTE,09,414.0
TARTELETTE,10,258.0
TARTELETTE,11,219.0
TARTELETTE,12,143.0
TARTELETTE CHOC,04,6.0
TARTELETTE CHOC,05,0.0
TARTELETTE CHOC,07,9.0
TARTELETTE CHOC,08,37.0
TARTELETTE CHOC,09,5.0
TARTELETTE CHOC,10,3.0
TARTELETTE COCKTAIL,09,2.0
TARTELETTE FRAISE,03,12.0
TARTELETTE FRAISE,04,101.0
TARTELETTE FRAISE,05,159.0
TARTELETTE FRAISE,06,90.0
TARTELETTE FRAISE,07,165.0
TARTELETTE FRAISE,08,253.0
TARTELETTE FRAISE,09,25.0
THE,02,2.0
THE,04,1.0
THE,05,2.0
THE,09,1.0
THE,11,1.0
TRADITIONAL BAGUETTE,01,5391.0
TRADITIONAL BAGUETTE,02,7154.0
TRADITIONAL BAGUETTE,03,7945.0
TRADITIONAL BAGUETTE,04,10057.0
TRADITIONAL BAGUETTE,05,12161.0
TRADITIONAL BAGUETTE,06,10047.0
TRADITIONAL BAGUETTE,07,19254.0
TRADITIONAL BAGUETTE,08,24310.0
TRADITIONAL BAGUETTE,09,9064.0
TRADITIONAL BAGUETTE,10,4779.0
TRADITIONAL BAGUETTE,11,3664.0
TRADITIONAL BAGUETTE,12,3637.0
TRAITEUR,01,155.0
TRAITEUR,02,140.0
TRAITEUR,03,116.0
TRAITEUR,04,62.0
TRAITEUR,05,77.0
TRAITEUR,06,33.0
TRAITEUR,07,142.0
TRAITEUR,08,136.0
TRAITEUR,09,150.0
TRAITEUR,10,153.0
TRAITEUR,11,132.0
TRAITEUR,12,160.0
TRIANGLES,03,8.0
TRIANGLES,04,23.0
TRIANGLES,05,3.0
TRIANGLES,06,36.0
TRIANGLES,07,11.0
TROIS CHOCOLAT,09,1.0
TROPEZIENNE,01,5.0
TROPEZIENNE,02,25.0
TROPEZIENNE,03,39.0
TROPEZIENNE,04,32.0
TROPEZIENNE,05,53.0
TROPEZIENNE,06,40.0
TROPEZIENNE,07,85.0
TROPEZIENNE,08,112.0
TROPEZIENNE,09,47.0
TROPEZIENNE,10,35.0
TROPEZIENNE,11,24.0
TROPEZIENNE,12,11.0
TROPEZIENNE FRAMBOISE,03,13.0
TROPEZIENNE FRAMBOISE,04,15.0
TROPEZIENNE FRAMBOISE,05,1.0
TROPEZIENNE FRAMBOISE,06,2.0
TROPEZIENNE FRAMBOISE,07,1.0
TROPEZIENNE FRAMBOISE,10,1.0
TULIPE,08,2.0
VIENNOISE,07,91.0
VIENNOISE,08,121.0
VIENNOISE,09,6.0
VIK BREAD,01,179.0
VIK BREAD,02,172.0
VIK BREAD,03,220.0
VIK BREAD,04,298.0
VIK BREAD,05,361.0
VIK BREAD,06,231.0
VIK BREAD,07,743.0
VIK BREAD,08,746.0
VIK BREAD,09,227.0
VIK BREAD,10,132.0
VIK BREAD,11,108.0
VIK BREAD,12,202.0
