article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std,XYZ
BRIOCHE,67.0,94.0,81.0,145.0,182.0,135.0,329.0,389.0,109.0,63.0,50.0,58.0,141.83333333333334,104.93476809692561,Z
BRIOCHE DE NOEL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.5833333333333333,4.424521317486095,X
BRIOCHETTE,0.0,10.0,3.0,27.0,15.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,7.166666666666667,10.59743155465302,Y
BROWNIES,0.0,3.0,16.0,10.0,2.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,3.75,5.3716074564944405,X
BUCHE 4PERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.9166666666666666,3.040239391159117,X
BUCHE 6PERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6666666666666666,2.2110831935702664,X
BUCHE 8PERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0.5527707983925666,X
CAFE OU EAU,137.0,124.0,163.0,188.0,204.0,200.0,244.0,250.0,147.0,104.0,100.0,83.0,162.0,53.3041586870418,Z
CAKE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833,X
CAMPAGNE,217.0,291.0,316.0,395.0,428.0,358.0,701.0,794.0,382.0,175.0,141.0,158.0,363.0,196.0021258388116,Z
CARAMEL NOIX,0.0,0.0,0.0,0.0,0.0,0.0,23.0,56.0,21.0,0.0,0.0,0.0,8.333333333333334,16.514303564553433,Y
CEREAL BAGUETTE,395.0,471.0,469.0,851.0,730.0,721.0,1188.0,1165.0,622.0,269.0,254.0,292.0,618.9166666666666,310.33166621464136,Z
CHAUSSON AUX POMMES,81.0,136.0,138.0,155.0,202.0,199.0,267.0,338.0,168.0,108.0,75.0,69.0,161.33333333333334,77.45787385554952,Z
CHOCOLAT,3.0,5.0,3.0,12.0,5.0,2.0,12.0,14.0,13.0,5.0,3.0,5.0,6.833333333333333,4.317277948996206,X
CHOU CHANTILLY,10.0,38.0,38.0,39.0,48.0,28.0,22.0,0.0,5.0,18.0,16.0,9.0,22.583333333333332,14.851814329868553,Y
COMPLET,207.0,241.0,301.0,375.0,371.0,358.0,489.0,527.0,278.0,166.0,110.0,112.0,294.5833333333333,130.04579855659398,Z
COOKIE,249.0,251.0,247.0,325.0,337.0,327.0,565.0,777.0,265.0,180.0,104.0,152.0,314.9166666666667,178.31688008212296,Z
COUPE,1312.0,1655.0,1694.0,2002.0,2302.0,2066.0,3877.0,3962.0,1950.0,966.0,734.0,985.0,1958.75,993.242176326264,Z
CROISSANT,1489.0,1756.0,1891.0,2443.0,3083.0,2675.0,4972.0,5921.0,2352.0,1217.0,894.0,961.0,2471.1666666666665,1492.7630886677528,Z
CROISSANT AMANDES,119.0,137.0,190.0,219.0,256.0,246.0,333.0,375.0,214.0,87.0,87.0,82.0,195.41666666666666,93.0783346912099,Z
CRUMBLE,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.75,1.479019945774904,X
CRUMBLECARAMEL OU PISTAE,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.82915619758885,X
DELICETROPICAL,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,2.0,0.0,0.0,0.0,5.083333333333333,12.0655040876413,Y
DEMI BAGUETTE,89.0,94.0,111.0,82.0,90.0,108.0,144.0,184.0,141.0,48.0,34.0,20.0,95.41666666666667,45.3200807834918,Z
DEMI PAIN,10.0,18.0,19.0,21.0,19.0,25.0,18.0,16.0,10.0,1.0,4.0,2.0,13.583333333333334,7.631713801994644,X
DIVERS BOISSONS,0.0,0.0,0.0,1.0,5.0,15.0,20.0,23.0,15.0,7.0,0.0,0.0,7.166666666666667,8.35497190632952,X
DIVERS BOULANGERIE,10.0,18.0,23.0,31.0,18.0,27.0,35.0,17.0,20.0,4.0,1.0,115.0,26.583333333333332,28.347422967333188,Z
DIVERS CONFISERIE,27.0,23.0,30.0,102.0,38.0,40.0,93.0,80.0,27.0,19.0,11.0,13.0,41.916666666666664,30.208879305411,Z
DIVERS PATISSERIE,68.0,33.0,30.0,90.0,40.0,52.0,56.0,52.0,17.0,24.0,31.0,43.0,44.666666666666664,19.559027469574133,Y
DIVERS SANDWICHS,35.0,34.0,48.0,27.0,29.0,17.0,25.0,0.0,2.0,2.0,11.0,3.0,19.416666666666668,15.22858241013333,Y
DIVERS VIENNOISERIE,117.0,220.0,67.0,97.0,111.0,25.0,72.0,44.0,28.0,6.0,14.0,31.0,69.33333333333333,57.983235124952756,Z
DOUCEUR D HIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833,X
ECLAIR,143.0,302.0,316.0,409.0,429.0,305.0,519.0,506.0,287.0,192.0,142.0,104.0,304.5,135.03795762673545,Z
ECLAIR FRAISE PISTACHE,1.0,1.0,1.0,1.0,2.0,7.0,4.0,0.0,4.0,1.0,0.0,0.0,1.8333333333333333,2.034425935955617,X
ENTREMETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.1666666666666665,10.502645169458766,Y
FICELLE,168.0,198.0,189.0,269.0,331.0,352.0,562.0,685.0,318.0,126.0,98.0,109.0,283.75,174.72842022216457,Z
FINANCIER,1.0,1.0,1.0,3.0,3.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,1.6666666666666667,1.3743685418725533,X
FINANCIER X5,52.0,83.0,106.0,121.0,153.0,118.0,167.0,232.0,81.0,52.0,42.0,56.0,105.25,54.58193382429758,Z
FLAN,54.0,77.0,87.0,76.0,95.0,128.0,153.0,151.0,114.0,58.0,45.0,39.0,89.75,37.69864055904404,Z
FLAN ABRICOT,39.0,60.0,69.0,51.0,76.0,83.0,109.0,107.0,88.0,43.0,38.0,28.0,65.91666666666667,26.07507856598369,Z
FONDANT CHOCOLAT,21.0,24.0,40.0,55.0,41.0,39.0,53.0,45.0,0.0,0.0,0.0,0.0,26.5,20.91849261618373,Y
FORMULE PATE,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649,X
FORMULE PLAT PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.9166666666666666,2.1392496088322392,X
FORMULE SANDWICH,270.0,307.0,531.0,524.0,575.0,713.0,621.0,620.0,456.0,251.0,187.0,126.0,431.75,186.5489770364162,Z
FRAISIER,0.0,0.0,14.0,146.0,156.0,88.0,97.0,88.0,0.0,2.0,0.0,2.0,49.416666666666664,58.77139090483472,Z
FRAMBOISIER,0.0,0.0,8.0,17.0,23.0,2.0,4.0,33.0,9.0,0.0,0.0,11.0,8.916666666666666,10.160858996933062,Y
GACHE,14.0,20.0,18.0,17.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.75,9.959292143521045,X
GAL FRANGIPANE 4P,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.75,53.67203648083422,Z
GAL FRANGIPANE 6P,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.666666666666666,31.930480039541454,Z
GAL POIRE CHOCO 4P,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0553007081949835,X
GAL POIRE CHOCO 6P,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,4.14578098794425,X
GAL POMME 4P,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.25,25.324971207617722,Z
GAL POMME 6P,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.166666666666667,15.68881413265161,Y
GALETTE 8 PERS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666,X
GD FAR BRETON,6.0,6.0,5.0,26.0,27.0,10.0,19.0,33.0,8.0,0.0,18.0,13.0,14.25,9.883698700385398,X
GD KOUIGN AMANN,21.0,44.0,40.0,71.0,125.0,70.0,227.0,308.0,50.0,27.0,19.0,7.0,84.08333333333333,88.85142873859085,Z
GD NANTAIS,0.0,0.0,0.0,2.0,4.0,0.0,15.0,47.0,9.0,7.0,16.0,9.0,9.083333333333334,12.68501959881112,Y
GD PLATEAU SALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0.5527707983925666,X
GRAND FAR BRETON,21.0,66.0,70.0,72.0,145.0,112.0,347.0,429.0,141.0,54.0,20.0,9.0,123.83333333333333,126.54434883558501,Z
GRANDE SUCETTE,1.0,23.0,41.0,41.0,35.0,44.0,53.0,45.0,14.0,6.0,31.0,10.0,28.666666666666668,16.629959577688563,Y
GUERANDAIS,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5951190357119042,X
KOUIGN AMANN,110.0,108.0,132.0,175.0,318.0,175.0,388.0,592.0,180.0,74.0,71.0,60.0,198.58333333333334,152.1684693211953,Z
MACARON,0.0,0.0,0.0,0.0,0.0,0.0,109.0,196.0,142.0,0.0,0.0,0.0,37.25,66.9640761901484,Z
MERINGUE,0.0,12.0,1.0,26.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416666666666667,8.683877142280528,X
