article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std
GALETTE 8 PERS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666
GD FAR BRETON,6.0,6.0,5.0,26.0,27.0,10.0,19.0,33.0,8.0,0.0,18.0,13.0,14.25,9.883698700385398
GD KOUIGN AMANN,21.0,44.0,40.0,71.0,125.0,70.0,227.0,308.0,50.0,27.0,19.0,7.0,84.08333333333333,88.85142873859085
GD NANTAIS,0.0,0.0,0.0,2.0,4.0,0.0,15.0,47.0,9.0,7.0,16.0,9.0,9.083333333333334,12.68501959881112
GD PLATEAU SALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0.5527707983925666
GRAND FAR BRETON,21.0,66.0,70.0,72.0,145.0,112.0,347.0,429.0,141.0,54.0,20.0,9.0,123.83333333333333,126.54434883558501
GRANDE SUCETTE,1.0,23.0,41.0,41.0,35.0,44.0,53.0,45.0,14.0,6.0,31.0,10.0,28.666666666666668,16.629959577688563
GUERANDAIS,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5951190357119042
KOUIGN AMANN,110.0,108.0,132.0,175.0,318.0,175.0,388.0,592.0,180.0,74.0,71.0,60.0,198.58333333333334,152.1684693211953
MACARON,0.0,0.0,0.0,0.0,0.0,0.0,109.0,196.0,142.0,0.0,0.0,0.0,37.25,66.9640761901484
MERINGUE,0.0,12.0,1.0,26.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416666666666667,8.683877142280528
MILLES FEUILLES,20.0,55.0,95.0,95.0,93.0,95.0,143.0,203.0,125.0,68.0,37.0,23.0,87.66666666666667,50.603579144386835
MOISSON,195.0,246.0,264.0,342.0,361.0,321.0,455.0,515.0,292.0,146.0,112.0,113.0,280.1666666666667,122.74148533491936
NANTAIS,40.0,67.0,81.0,82.0,116.0,84.0,115.0,5.0,0.0,0.0,0.0,1.0,49.25,44.74953444823011
NID DE POULE,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,9.673488971869915
NOIX JAPONAISE,9.0,52.0,50.0,47.0,71.0,17.0,64.0,55.0,25.0,20.0,22.0,15.0,37.25,20.469998371600653
PAILLE,0.0,6.0,36.0,43.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.916666666666666,17.951129645667308
PAIN,175.0,222.0,213.0,247.0,232.0,227.0,325.0,270.0,177.0,130.0,133.0,110.0,205.08333333333334,60.18922707225568
PAIN AU CHOCOLAT,1227.0,1576.0,1781.0,2122.0,2660.0,2303.0,3988.0,4960.0,1903.0,1061.0,808.0,847.0,2103.0,1210.9017989360932
PAIN AUX RAISINS,137.0,164.0,203.0,245.0,267.0,282.0,398.0,470.0,234.0,144.0,88.0,97.0,227.41666666666666,111.4453964454741
PAIN BANETTE,167.0,203.0,221.0,254.0,296.0,284.0,474.0,543.0,263.0,128.0,102.0,86.0,251.75,133.25046904232644
PAIN CHOCO AMANDES,94.0,112.0,168.0,167.0,185.0,153.0,252.0,300.0,195.0,108.0,99.0,72.0,158.75,65.11928157875617
PAIN DE MIE,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,3.3333333333333335,7.608474807008885
PAIN GRAINES,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5951190357119042
PAIN NOIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.2763853991962833
PAIN S/SEL,12.0,11.0,3.0,2.0,5.0,21.0,19.0,17.0,18.0,12.0,8.0,12.0,11.666666666666666,6.032320356951286
PAIN SUISSE PEPITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,1.75,4.728019317501428
PALET BRETON,0.0,0.0,0.0,28.0,39.0,13.0,86.0,80.0,19.0,0.0,0.0,0.0,22.083333333333332,29.970703287636674
PALMIER,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1902380714238083
PARIS BREST,51.0,89.0,123.0,119.0,148.0,93.0,162.0,177.0,113.0,71.0,79.0,49.0,106.16666666666667,39.93084299413453
PATES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649
PLAQUE TARTE 25P,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666
PLAT,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.75,1.1636866703140785
PLAT 6.50E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAT 7.00,0.0,0.0,11.0,7.0,13.0,22.0,27.0,18.0,12.0,0.0,0.0,0.0,9.166666666666666,9.181805680559547
PLAT 7.60E,0.0,2.0,18.0,23.0,20.0,53.0,72.0,67.0,65.0,0.0,0.0,0.0,26.666666666666668,28.0337098666746
PLAT 8.30E,0.0,0.0,4.0,11.0,18.0,31.0,28.0,33.0,21.0,0.0,0.0,0.0,12.166666666666666,12.779106211138384
"PLATPREPARE5,50",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.82915619758885
"PLATPREPARE6,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833
"PLATPREPARE6,50",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.6666666666666666,1.5456030825826172
"PLATPREPARE7,00",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,1.4166666666666667,3.1743328257901515
PT NANTAIS,15.0,6.0,10.0,61.0,32.0,41.0,126.0,279.0,63.0,52.0,38.0,28.0,62.583333333333336,72.11386636578447
PT PLATEAU SALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3333333333333333,1.1055415967851332
QUIM BREAD,132.0,161.0,179.0,161.0,220.0,199.0,345.0,370.0,180.0,82.0,77.0,75.0,181.75,91.06510949132311
REDUCTION SUCREES 12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6666666666666666,1.9293061504650375
REDUCTION SUCREES 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.2763853991962833
RELIGIEUSE,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,9.0,0.0,0.0,0.0,9.916666666666666,21.336425557144185
ROYAL,4.0,33.0,31.0,26.0,61.0,5.0,6.0,25.0,46.0,7.0,3.0,40.0,23.916666666666668,18.39138536259723
ROYAL 4P,2.0,2.0,8.0,11.0,15.0,0.0,13.0,14.0,7.0,5.0,0.0,1.0,6.5,5.408326913195984
ROYAL 6P,1.0,1.0,1.0,10.0,16.0,3.0,14.0,12.0,3.0,1.0,2.0,2.0,5.5,5.5
SABLE F  P,0.0,0.0,0.0,0.0,0.0,0.0,38.0,69.0,21.0,0.0,0.0,0.0,10.666666666666666,20.977501175200906
SACHET DE CROUTON,8.0,3.0,6.0,5.0,14.0,14.0,28.0,19.0,2.0,7.0,3.0,12.0,10.083333333333334,7.398855016524891
SACHET DE VIENNOISERIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833
SACHET VIENNOISERIE,27.0,55.0,58.0,55.0,66.0,34.0,69.0,52.0,26.0,29.0,27.0,11.0,42.416666666666664,18.020628611553914
SAND JB,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,1.114924013354971
SAND JB EMMENTAL,101.0,102.0,138.0,147.0,177.0,205.0,254.0,294.0,214.0,81.0,46.0,33.0,149.33333333333334,78.2733813133317
SANDWICH COMPLET,169.0,165.0,271.0,312.0,316.0,353.0,295.0,389.0,298.0,141.0,105.0,74.0,240.66666666666666,99.8009129328095
SAVARIN,17.0,55.0,52.0,43.0,94.0,57.0,42.0,37.0,22.0,17.0,23.0,8.0,38.916666666666664,22.870863317524528
SEIGLE,84.0,82.0,106.0,130.0,138.0,116.0,216.0,258.0,112.0,57.0,47.0,76.0,118.5,59.79618159492572
SPECIAL BREAD,344.0,419.0,395.0,498.0,577.0,487.0,848.0,845.0,451.0,186.0,175.0,231.0,454.6666666666667,212.61754918684915
SPECIAL BREAD KG,26.0,35.0,34.0,38.0,39.0,42.0,74.0,85.0,36.0,21.0,15.0,12.0,38.083333333333336,20.7944637397126
ST HONORE,0.0,0.0,0.0,0.0,0.0,12.0,26.0,54.0,14.0,4.0,0.0,0.0,9.166666666666666,15.651588488783567
SUCETTE,31.0,51.0,83.0,94.0,75.0,88.0,249.0,222.0,49.0,68.0,29.0,22.0,88.41666666666667,69.80981107424816
TARTE FINE,0.0,8.0,14.0,17.0,13.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,5.416666666666667,6.020220557052337
TARTE FRAISE 4PER,0.0,0.0,2.0,23.0,38.0,34.0,39.0,29.0,0.0,0.0,0.0,0.0,13.75,16.39677305650922
TARTE FRAISE 6P,0.0,0.0,1.0,16.0,25.0,22.0,32.0,22.0,2.0,0.0,0.0,0.0,10.0,11.825114516711174
TARTE FRUITS 4P,6.0,28.0,29.0,30.0,59.0,28.0,54.0,63.0,32.0,29.0,13.0,9.0,31.666666666666668,17.77795138804119
TARTE FRUITS 6P,5.0,20.0,21.0,26.0,48.0,16.0,47.0,47.0,22.0,21.0,7.0,3.0,23.583333333333332,15.353926388893349
TARTELETTE,162.0,450.0,468.0,414.0,622.0,446.0,712.0,712.0,414.0,258.0,219.0,143.0,418.3333333333333,188.23493004458254
TARTELETTE CHOC,0.0,0.0,0.0,6.0,0.0,0.0,9.0,37.0,5.0,3.0,0.0,0.0,5.0,10.082988974836116
TARTELETTE COCKTAIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666
TARTELETTE FRAISE,0.0,0.0,12.0,101.0,159.0,90.0,165.0,253.0,25.0,0.0,0.0,0.0,67.08333333333333,82.45348015025738
THE,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5833333333333334,0.759202798262025
TRADITIONAL BAGUETTE,5391.0,7154.0,7945.0,10057.0,12161.0,10047.0,19254.0,24310.0,9064.0,4779.0,3664.0,3637.0,9788.583333333334,6033.827246703003
TRAITEUR,155.0,140.0,116.0,62.0,77.0,33.0,142.0,136.0,150.0,153.0,132.0,160.0,121.33333333333333,39.6596632472956
TRIANGLES,0.0,0.0,8.0,23.0,3.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,6.75,11.07643895843786
TROIS CHOCOLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833
TROPEZIENNE,5.0,25.0,39.0,32.0,53.0,40.0,85.0,112.0,47.0,35.0,24.0,11.0,42.333333333333336,28.86558889442968
TROPEZIENNE FRAMBOISE,0.0,0.0,13.0,15.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.75,5.084699270032267
TULIPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666
VIENNOISE,0.0,0.0,0.0,0.0,0.0,0.0,91.0,121.0,6.0,0.0,0.0,0.0,18.166666666666668,39.78867789822739
VIK BREAD,179.0,172.0,220.0,298.0,361.0,231.0,743.0,746.0,227.0,132.0,108.0,202.0,301.5833333333333,208.38004476330156
