article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std
CRUMBLECARAMEL OU PISTAE,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.82915619758885
DELICETROPICAL,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,2.0,0.0,0.0,0.0,5.083333333333333,12.0655040876413
DEMI BAGUETTE,89.0,94.0,111.0,82.0,90.0,108.0,144.0,184.0,141.0,48.0,34.0,20.0,95.41666666666667,45.3200807834918
DEMI PAIN,10.0,18.0,19.0,21.0,19.0,25.0,18.0,16.0,10.0,1.0,4.0,2.0,13.583333333333334,7.631713801994644
DIVERS BOISSONS,0.0,0.0,0.0,1.0,5.0,15.0,20.0,23.0,15.0,7.0,0.0,0.0,7.166666666666667,8.35497190632952
DIVERS BOULANGERIE,10.0,18.0,23.0,31.0,18.0,27.0,35.0,17.0,20.0,4.0,1.0,115.0,26.583333333333332,28.347422967333188
DIVERS CONFISERIE,27.0,23.0,30.0,102.0,38.0,40.0,93.0,80.0,27.0,19.0,11.0,13.0,41.916666666666664,30.208879305411
DIVERS PATISSERIE,68.0,33.0,30.0,90.0,40.0,52.0,56.0,52.0,17.0,24.0,31.0,43.0,44.666666666666664,19.559027469574133
DIVERS SANDWICHS,35.0,34.0,48.0,27.0,29.0,17.0,25.0,0.0,2.0,2.0,11.0,3.0,19.416666666666668,15.22858241013333
DIVERS VIENNOISERIE,117.0,220.0,67.0,97.0,111.0,25.0,72.0,44.0,28.0,6.0,14.0,31.0,69.33333333333333,57.983235124952756
DOUCEUR D HIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833
ECLAIR,143.0,302.0,316.0,409.0,429.0,305.0,519.0,506.0,287.0,192.0,142.0,104.0,304.5,135.03795762673545
ECLAIR FRAISE PISTACHE,1.0,1.0,1.0,1.0,2.0,7.0,4.0,0.0,4.0,1.0,0.0,0.0,1.8333333333333333,2.034425935955617
ENTREMETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.1666666666666665,10.502645169458766
FICELLE,168.0,198.0,189.0,269.0,331.0,352.0,562.0,685.0,318.0,126.0,98.0,109.0,283.75,174.72842022216457
FINANCIER,1.0,1.0,1.0,3.0,3.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,1.6666666666666667,1.3743685418725533
FINANCIER X5,52.0,83.0,106.0,121.0,153.0,118.0,167.0,232.0,81.0,52.0,42.0,56.0,105.25,54.58193382429758
FLAN,54.0,77.0,87.0,76.0,95.0,128.0,153.0,151.0,114.0,58.0,45.0,39.0,89.75,37.69864055904404
FLAN ABRICOT,39.0,60.0,69.0,51.0,76.0,83.0,109.0,107.0,88.0,43.0,38.0,28.0,65.91666666666667,26.07507856598369
FONDANT CHOCOLAT,21.0,24.0,40.0,55.0,41.0,39.0,53.0,45.0,0.0,0.0,0.0,0.0,26.5,20.91849261618373
FORMULE PATE,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649
FORMULE PLAT PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.9166666666666666,2.1392496088322392
FORMULE SANDWICH,270.0,307.0,531.0,524.0,575.0,713.0,621.0,620.0,456.0,251.0,187.0,126.0,431.75,186.5489770364162
FRAISIER,0.0,0.0,14.0,146.0,156.0,88.0,97.0,88.0,0.0,2.0,0.0,2.0,49.416666666666664,58.77139090483472
FRAMBOISIER,0.0,0.0,8.0,17.0,23.0,2.0,4.0,33.0,9.0,0.0,0.0,11.0,8.916666666666666,10.160858996933062
GACHE,14.0,20.0,18.0,17.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.75,9.959292143521045
GAL FRANGIPANE 4P,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.75,53.67203648083422
GAL FRANGIPANE 6P,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.666666666666666,31.930480039541454
GAL POIRE CHOCO 4P,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0553007081949835
GAL POIRE CHOCO 6P,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,4.14578098794425
GAL POMME 4P,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.25,25.324971207617722
GAL POMME 6P,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.166666666666667,15.68881413265161
